"quality","variable","value"
"3","volatile.acidity",1.61622737482096
"4","volatile.acidity",0.93892122321561
"5","volatile.acidity",0.306025807411315
"6","volatile.acidity",-0.126545496125564
"7","volatile.acidity",-0.751711162613065
"8","volatile.acidity",-0.261938607223616
"3","chlorides",0.579696278646277
"4","chlorides",-0.176891807569475
"5","chlorides",0.0667645217613742
"6","chlorides",-0.0266084546895847
"7","chlorides",-0.20746899909142
"8","chlorides",-0.418677614083164
"3","density",0.751275342733223
"4","density",-0.0742369948321091
"5","density",0.177781457615433
"6","density",-0.0627259974356058
"7","density",-0.244220537009392
"8","density",-0.738592305526883
"3","pH",-0.134139720184325
"4","pH",0.60219472068535
"5","pH",-0.0500698210228858
"6","pH",0.0814623128044585
"7","pH",-0.173243303578069
"8","pH",-0.562718280195158
